#int_mass winds winds_init rlof rlof_init cc cc_init
11 4.72939892E-98 7.09866643E-100 1.50084926E-98 7.18750744E-99 2.01332263E-09 1.82680375E-99
12 2.18276771E-91 8.75960607E-100 2.52443050E-98 7.61905068E-99 4.93453997E-09 2.16357052E-99
13 1.23408120E-90 1.07298574E-99 3.32870222E-98 8.02174168E-99 7.31299455E-09 2.54396355E-99
14 1.66859776E-90 1.29949309E-99 3.99093880E-98 8.39807501E-99 2.25996460E-08 2.77223864E-99
15 4.49282018E-82 1.55550801E-99 3.96095829E-98 8.74620705E-99 8.86251156E-09 3.17275405E-99
16 6.26597177E-82 1.79456973E-99 5.27837835E-98 9.14655215E-99 9.67239095E-09 3.49407386E-99
17 9.10198057E-82 2.14459495E-99 5.60898703E-98 9.43651509E-99 5.56560299E-08 3.86423242E-99
18 6.26996546E-81 2.45257377E-99 6.41383257E-98 9.88298393E-99 6.83641885E-08 4.10226105E-99
19 6.06064617E-81 2.73496214E-99 6.34859874E-98 1.03769915E-98 5.80298306E-08 4.35374529E-99
20 1.05314067E-78 2.11013489E-99 5.44763834E-98 1.09287532E-98 1.66704234E-08 5.49885516E-99
21 5.24814394E-85 2.58615079E-99 7.76250977E-98 1.11755483E-98 1.61331090E-08 5.70332139E-99
22 3.52401168E-99 2.45207030E-99 5.08566930E-98 1.03862290E-98 2.58264894E-08 7.48585472E-99
23 3.51186735E-99 2.72168790E-99 5.16766666E-98 1.08963776E-98 2.40911178E-08 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 4.35007998E-81 5.41751911E-99 7.09337730E-98 1.14196209E-98 2.43882421E-08 7.41740831E-99
27 7.95874436E-99 4.85670498E-99 4.55787371E-98 1.01555349E-98 1.96309118E-07 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.46256178E-88 7.56722468E-99 5.47088995E-98 1.04713238E-98 1.55505446E-08 1.04959921E-98
31 1.44933464E-98 6.81367439E-99 6.18261721E-98 1.06773913E-98 3.12286927E-08 1.18150622E-98
32 7.14981473E-81 9.40225550E-99 6.14568003E-98 1.10294432E-98 2.65131731E-07 9.70028696E-99
33 7.57727353E-81 1.01676048E-98 1.02725016E-97 1.10384737E-98 2.38535408E-07 9.91357055E-99
34 1.41498143E-80 1.08716292E-98 6.27167672E-98 1.06011313E-98 8.29738424E-08 1.07237028E-98
35 1.21505815E-80 1.17012532E-98 6.14467194E-98 1.10228789E-98 9.15295152E-08 1.04790556E-98
36 1.15457898E-76 1.23434934E-98 1.38471145E-97 1.11335896E-98 5.97350736E-08 1.07622416E-98
37 4.55695918E-79 1.36370997E-98 9.53728770E-98 1.04608066E-98 6.36412716E-08 1.11836019E-98
38 6.82631579E-57 1.43409828E-98 7.95670993E-98 1.03698631E-98 1.67179996E-08 1.17100176E-98
39 7.73874174E-77 1.51360687E-98 6.71344281E-98 1.02281929E-98 1.85391283E-08 1.20966291E-98
40 9.63596802E-79 1.58592756E-98 7.48266415E-98 1.00768488E-98 1.98513342E-08 1.24534330E-98
41 4.77592035E-78 1.66202907E-98 7.29370141E-98 9.91671168E-99 2.06102058E-08 1.27759928E-98
42 1.75170712E-78 1.74419302E-98 6.58202547E-98 9.73859850E-99 1.81822224E-08 1.34790534E-98
43 6.97626855E-78 1.82477564E-98 6.41273079E-98 9.51666572E-99 1.28828518E-07 1.33572075E-98
44 5.91071833E-78 1.96642076E-98 5.25051206E-98 9.09263158E-99 2.07895413E-08 1.38867220E-98
45 1.30527005E-77 2.04704505E-98 4.99108799E-98 8.87899365E-99 2.26909958E-08 1.44306289E-98
