#intial_mass winds winds_init cc cc_init
11 3.03942718E-99 1.65376070E-99 1.25709364E-08 7.90428047E-99
12 6.34477854E-99 2.25308803E-99 7.74161533E-09 8.21550693E-99
13 1.08399535E-98 2.98106037E-99 1.11223967E-08 8.54793643E-99
14 1.74799521E-98 3.84895528E-99 6.54164955E-09 8.52400674E-99
15 1.92872732E-98 4.85877415E-99 6.31301931E-08 8.37157635E-99
16 3.04905841E-98 6.02513216E-99 7.02418477E-08 8.32485659E-99
17 3.55653178E-98 7.00605258E-99 2.63223576E-08 8.57081859E-99
18 3.91076202E-98 7.98845017E-99 1.89721892E-09 8.53827826E-99
19 4.16643495E-98 8.52504413E-99 1.02081686E-08 9.09597247E-99
20 3.95939841E-98 8.50676209E-99 1.40686818E-08 9.94166227E-99
21 3.87025936E-98 9.02532263E-99 8.29781071E-09 1.03976222E-98
22 4.55305280E-98 1.01876132E-98 8.98777459E-09 1.03137424E-98
23 8.67547950E-98 1.20593456E-98 6.42787160E-08 8.85676184E-99
24 8.76891878E-98 1.27970239E-98 4.37553620E-07 9.37920360E-99
25 6.42061425E-98 1.24312264E-98 4.12964673E-07 1.08065927E-98
26 7.24670302E-98 1.41854608E-98 1.56686797E-07 9.94735366E-99
27 6.50923800E-98 1.47058019E-98 1.16847404E-07 1.04573029E-98
28 7.08451621E-98 1.52378169E-98 1.93104816E-07 1.09300844E-98
29 5.76306827E-98 1.57525359E-98 9.06234145E-08 1.15071127E-98
30 1.01777831E-97 1.58792730E-98 1.08146746E-07 1.23804182E-98
31 9.81005177E-98 1.64584620E-98 8.06685523E-08 1.27236576E-98
32 1.02491555E-97 1.69835643E-98 6.85805371E-08 1.31540008E-98
33 6.49949720E-93 1.85937549E-98 1.39068670E-07 1.24582787E-98
34 1.78052138E-82 1.89227822E-98 1.07147798E-07 1.32678635E-98
35 4.58724305E-91 1.98998935E-98 3.83782098E-08 1.33883361E-98
36 3.36413789E-90 2.10776108E-98 9.23222137E-08 1.29661790E-98
37 1.07876694E-84 2.14341539E-98 3.03905832E-08 1.36348383E-98
38 1.13760252E-85 2.20323456E-98 2.79864677E-08 1.39974515E-98
39 1.55360180E-80 2.26893308E-98 2.90510869E-08 1.43150355E-98
40 8.82064256E-80 2.33107300E-98 1.88966036E-07 1.47631259E-98
41 9.43234018E-70 2.39799271E-98 3.41898058E-08 1.55716059E-98
42 2.89179366E-80 2.46872848E-98 7.92945786E-09 1.57021011E-98
43 4.74514631E-80 2.53654180E-98 3.64210278E-08 1.60542609E-98
44 3.43450690E-78 2.60710283E-98 2.29269851E-08 1.66451914E-98
45 2.82196706E-78 2.67357562E-98 3.44526374E-08 1.69039596E-98
