#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.45261416E-05 1.45262121E-05 1.47079960E-04 1.47080101E-04 1.79496476E-03 3.73824282E-05
12 1.79250233E-05 1.79250423E-05 1.55910754E-04 1.55910899E-04 3.96574500E-03 4.42737867E-05
13 2.19569334E-05 2.19568262E-05 1.64151136E-04 1.64151285E-04 1.03527525E-03 5.20578824E-05
14 2.65922319E-05 2.65919134E-05 1.71852153E-04 1.71852305E-04 1.25488516E-02 5.67291434E-05
15 3.18314429E-05 3.18308228E-05 1.78976080E-04 1.78976235E-04 7.44374936E-03 6.49250093E-05
16 3.67237226E-05 3.67228139E-05 1.87168442E-04 1.87168616E-04 8.22134613E-03 7.15002722E-05
17 4.38869340E-05 4.38854840E-05 1.93102044E-04 1.93102214E-04 1.60702326E-02 7.90749369E-05
18 5.01895859E-05 5.01877461E-05 2.02238242E-04 2.02238438E-04 1.27665899E-02 8.39457874E-05
19 5.59683788E-05 5.59663434E-05 2.12347236E-04 2.12347461E-04 9.96092740E-03 8.90919842E-05
20 4.31810585E-05 4.31803176E-05 2.23638083E-04 2.23638326E-04 6.58005629E-03 1.12524708E-04
21 5.29225298E-05 5.29211725E-05 2.28688363E-04 2.28688568E-04 4.74705164E-03 1.16708761E-04
22 5.01774647E-05 5.01774434E-05 2.12536413E-04 2.12536493E-04 3.64503477E-03 1.53185271E-04
23 5.56947327E-05 5.56947086E-05 2.22975751E-04 2.22975814E-04 3.89280624E-03 1.54302110E-04
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.10865214E-04 1.10860304E-04 2.33683142E-04 2.33683096E-04 6.24834827E-03 1.51784631E-04
27 9.93845043E-05 9.93841978E-05 2.07815975E-04 2.07815731E-04 1.54074496E-02 2.09010421E-04
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.54855862E-04 1.54850368E-04 2.14278106E-04 2.14277811E-04 4.36972538E-03 2.14782606E-04
31 1.39431135E-04 1.39430245E-04 2.18495121E-04 2.18494633E-04 6.74817403E-03 2.41775131E-04
32 1.92414433E-04 1.92401150E-04 2.25699164E-04 2.25698776E-04 2.48489198E-02 1.98499856E-04
33 2.09552700E-04 2.08062720E-04 2.25884032E-04 2.25883569E-04 2.29460269E-02 2.02864341E-04
34 2.23125405E-04 2.22469380E-04 2.16934623E-04 2.16934102E-04 1.63676899E-02 2.19442318E-04
35 2.46891908E-04 2.39446223E-04 2.25565086E-04 2.25564448E-04 1.57712601E-02 2.14436030E-04
36 2.60805518E-04 2.52588576E-04 2.27830995E-04 2.27829954E-04 1.43228790E-02 2.20230950E-04
37 2.98757091E-04 2.79060026E-04 2.14062835E-04 2.14062595E-04 1.25873718E-02 2.28853371E-04
38 3.16017169E-04 2.93463794E-04 2.12201881E-04 2.12201591E-04 6.44942237E-03 2.39625572E-04
39 3.35602491E-04 3.09733873E-04 2.09302890E-04 2.09302551E-04 6.48855106E-03 2.47536918E-04
40 3.53362021E-04 3.24533071E-04 2.06205942E-04 2.06205553E-04 6.66409972E-03 2.54838302E-04
41 3.72395015E-04 3.40105950E-04 2.02929061E-04 2.02928619E-04 7.06807606E-03 2.61438938E-04
42 3.92985196E-04 3.56919403E-04 1.99284332E-04 1.99283836E-04 6.04398148E-03 2.75825877E-04
43 4.13201720E-04 3.73409263E-04 1.94742911E-04 1.94742360E-04 1.66697339E-02 2.73332509E-04
44 4.47462658E-04 4.02394525E-04 1.86065824E-04 1.86065223E-04 6.29967004E-03 2.84168120E-04
45 4.67617368E-04 4.18892915E-04 1.81694152E-04 1.81693487E-04 7.22296173E-03 2.95298250E-04
