#intial_mass winds winds_init cc cc_init
11 3.38413795E-05 3.38413968E-05 4.43152995E-03 1.61747641E-04
12 4.61055859E-05 4.61056101E-05 1.32330731E-02 1.68116361E-04
13 6.10022918E-05 6.10023247E-05 7.32188345E-03 1.74918964E-04
14 7.87622724E-05 7.87623162E-05 8.65246444E-03 1.74429284E-04
15 9.94264829E-05 9.94265399E-05 1.43875424E-02 1.71310056E-04
16 1.23293998E-04 1.23294071E-04 1.39976788E-02 1.70354015E-04
17 1.43366843E-04 1.43366937E-04 7.71463961E-03 1.75387209E-04
18 1.63469914E-04 1.63470031E-04 2.64811517E-03 1.74721326E-04
19 1.74450371E-04 1.74450512E-04 5.74568614E-03 1.86133589E-04
20 1.74076245E-04 1.74076402E-04 6.04656786E-03 2.03439191E-04
21 1.84687702E-04 1.84687860E-04 4.24499710E-03 2.12769634E-04
22 2.08472035E-04 2.08472158E-04 5.30756243E-03 2.11053176E-04
23 2.46773929E-04 2.46773975E-04 9.61731450E-03 1.81238551E-04
24 2.61869300E-04 2.61869305E-04 2.92453566E-02 1.91929431E-04
25 2.54383980E-04 2.54383882E-04 2.89373992E-02 2.21138519E-04
26 2.90281357E-04 2.90281302E-04 1.53977615E-02 2.03555655E-04
27 3.00929424E-04 3.00929196E-04 1.30763196E-02 2.13990898E-04
28 3.11816582E-04 3.11815978E-04 1.32857372E-02 2.23665566E-04
29 3.22349603E-04 3.22348824E-04 1.05673512E-02 2.35473469E-04
30 3.24943137E-04 3.24942285E-04 8.51582654E-03 2.53344179E-04
31 3.36795106E-04 3.36794402E-04 1.05580823E-02 2.60367988E-04
32 3.47540896E-04 3.47539726E-04 9.21916007E-03 2.69174229E-04
33 3.80495713E-04 3.80489534E-04 1.87040504E-02 2.54937461E-04
34 3.87228896E-04 3.87222518E-04 1.70050434E-02 2.71504235E-04
35 4.07227740E-04 4.07217436E-04 6.77840315E-03 2.73969502E-04
36 4.31333048E-04 4.31317416E-04 1.62578390E-02 2.65330775E-04
37 4.40321940E-04 4.38613464E-04 8.94210486E-03 2.79013750E-04
38 4.55931295E-04 4.50854437E-04 8.21567773E-03 2.86434011E-04
39 4.73749066E-04 4.64298522E-04 8.58051763E-03 2.92932827E-04
40 4.89946347E-04 4.77014398E-04 1.91202906E-02 3.02102234E-04
41 5.08064800E-04 4.90708378E-04 8.93047603E-03 3.18646401E-04
42 5.27629747E-04 5.05183247E-04 7.40485112E-03 3.21316763E-04
43 5.46056551E-04 5.19060090E-04 9.78645268E-03 3.28523113E-04
44 5.65759519E-04 5.33499202E-04 5.88970168E-03 3.40615500E-04
45 5.84075664E-04 5.47101727E-04 7.49064645E-03 3.45910751E-04
