#intial_mass winds winds_init cc cc_init
11 3.32551314E-07 3.32551314E-07 2.26021712E-05 1.58945539E-06
12 4.53068805E-07 4.53068805E-07 5.66303603E-06 1.65203928E-06
13 5.99455258E-07 5.99455258E-07 2.61022788E-05 1.71888684E-06
14 7.73978447E-07 7.73978447E-07 1.30249837E-05 1.71407486E-06
15 9.77040832E-07 9.77040833E-07 6.46582367E-06 1.68342295E-06
16 1.21158135E-06 1.21158135E-06 1.48324845E-05 1.67402817E-06
17 1.40883261E-06 1.40883261E-06 1.02815654E-05 1.72348816E-06
18 1.60638090E-06 1.60638090E-06 4.57416392E-05 1.71694470E-06
19 1.71428347E-06 1.71428347E-06 1.04237531E-05 1.82909027E-06
20 1.71060717E-06 1.71060717E-06 1.48893546E-05 1.99914828E-06
21 1.81488344E-06 1.81488344E-06 7.21815541E-06 2.09083631E-06
22 2.04860605E-06 2.04860605E-06 7.85087679E-06 2.07396909E-06
23 2.42498884E-06 2.42498884E-06 1.12322105E-05 1.78098790E-06
24 2.57332704E-06 2.57332704E-06 7.29855263E-05 1.88604463E-06
25 2.49976958E-06 2.49976958E-06 2.54193254E-05 2.17307535E-06
26 2.85252495E-06 2.85252495E-06 2.99394078E-05 2.00029275E-06
27 2.95715925E-06 2.95715925E-06 3.07507881E-05 2.10283738E-06
28 3.06414105E-06 3.06414105E-06 3.14985760E-05 2.19790803E-06
29 3.16764481E-06 3.16764481E-06 3.27506801E-05 2.31394147E-06
30 3.19313013E-06 3.19313013E-06 1.41488218E-05 2.48955267E-06
31 3.30959805E-06 3.30959805E-06 1.38790387E-05 2.55857396E-06
32 3.41518978E-06 3.41518978E-06 1.33752841E-05 2.64511078E-06
33 3.73897967E-06 3.73897967E-06 2.38377238E-05 2.50520947E-06
34 3.80514310E-06 3.80514310E-06 2.94993281E-05 2.66800720E-06
35 4.00162837E-06 4.00162837E-06 1.56747900E-05 2.69223279E-06
36 4.23845317E-06 4.23845311E-06 2.16893274E-05 2.60734208E-06
37 4.31581509E-06 4.31014963E-06 1.51742919E-05 2.74180140E-06
38 4.44737212E-06 4.43043874E-06 1.51150196E-05 2.81471853E-06
39 4.59387899E-06 4.56255056E-06 1.55843635E-05 2.87858084E-06
40 4.73028913E-06 4.68750642E-06 2.53896962E-05 2.96868641E-06
41 4.87919786E-06 4.82207389E-06 8.74190472E-05 3.13126199E-06
42 5.03771582E-06 4.96431497E-06 1.31004088E-04 3.15750300E-06
43 5.18880359E-06 5.10067939E-06 6.57725745E-05 3.22831808E-06
44 5.34756513E-06 5.24256909E-06 1.68477281E-04 3.34714707E-06
45 5.49668566E-06 5.37623785E-06 1.53343490E-04 3.39918224E-06
