#int_mass winds winds_init rlof rlof_init cc cc_init
11 9.64176277E-77 7.09866643E-100 3.30407171E-98 7.18750744E-99 8.75205076E-09 1.82680375E-99
12 4.86179721E-75 8.75960607E-100 2.15951633E-98 7.61905068E-99 2.06491236E-08 2.16357052E-99
13 2.87701933E-74 1.07298574E-99 2.48881264E-98 8.02174168E-99 3.08841186E-08 2.54396355E-99
14 1.52951991E-73 1.29949309E-99 2.50092975E-98 8.39807501E-99 7.84755034E-10 2.77223864E-99
15 1.93645622E-52 1.55550801E-99 2.81307342E-98 8.74620705E-99 2.50451667E-08 3.17275405E-99
16 3.32700130E-52 1.79456973E-99 3.38650180E-98 9.14655215E-99 2.80859405E-08 3.49407386E-99
17 5.56562763E-52 2.14459495E-99 3.76460965E-98 9.43651509E-99 1.85554497E-09 3.86423242E-99
18 7.59507460E-52 2.45257377E-99 3.14529903E-98 9.88298393E-99 3.32211109E-09 4.10226105E-99
19 1.38160781E-51 2.73496214E-99 3.46198153E-98 1.03769915E-98 4.97115033E-09 4.35374529E-99
20 2.24475720E-57 2.11013489E-99 3.41633036E-98 1.09287532E-98 3.04476513E-08 5.49885516E-99
21 5.96265411E-66 2.58615079E-99 3.38748036E-98 1.11755483E-98 1.94334839E-08 5.70332139E-99
22 4.68246230E-99 2.45207030E-99 2.94417722E-98 1.03862290E-98 1.11366068E-09 7.48585472E-99
23 1.15464099E-98 2.72168790E-99 2.81255084E-98 1.08963776E-98 1.99984900E-08 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 5.94196193E-52 5.41751911E-99 3.47499654E-98 1.14196209E-98 2.69681675E-08 7.41740831E-99
27 5.62843666E-99 4.85670498E-99 2.42069486E-98 1.01555349E-98 4.53855165E-08 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 9.55010265E-59 7.56722468E-99 3.41300816E-98 1.04713238E-98 2.14396621E-08 1.04959921E-98
31 1.85949755E-98 6.81367439E-99 2.35288845E-98 1.06773913E-98 2.13307064E-08 1.18150622E-98
32 1.48260092E-51 9.40225550E-99 3.80349714E-98 1.10294432E-98 9.27980228E-08 9.70028696E-99
33 2.62327937E-51 1.01676048E-98 2.85533989E-98 1.10384737E-98 8.59022061E-08 9.91357055E-99
34 2.48593702E-57 1.08716292E-98 2.42243911E-98 1.06011313E-98 7.91822990E-08 1.07237028E-98
35 4.22923162E-51 1.17012532E-98 2.67084579E-98 1.10228789E-98 9.58593673E-08 1.04790556E-98
36 5.22623188E-51 1.23434934E-98 3.65769517E-98 1.11335896E-98 1.10526496E-07 1.07622416E-98
37 5.90597001E-50 1.36370997E-98 2.47467751E-98 1.04608066E-98 1.16695406E-07 1.11836019E-98
38 1.22998974E-50 1.43409828E-98 1.86741452E-98 1.03698631E-98 2.42334908E-08 1.17100176E-98
39 1.14701961E-50 1.51360687E-98 2.58191603E-98 1.02281929E-98 2.80968802E-08 1.20966291E-98
40 1.30034301E-50 1.58592756E-98 2.51476664E-98 1.00768488E-98 2.96015662E-08 1.24534330E-98
41 1.51747425E-50 1.66202907E-98 2.18442588E-98 9.91671168E-99 2.94657611E-08 1.27759928E-98
42 1.71618159E-50 1.74419302E-98 2.11836017E-98 9.73859850E-99 2.60656629E-08 1.34790534E-98
43 1.88184584E-50 1.82477564E-98 2.44800486E-98 9.51666572E-99 1.14247590E-08 1.33572075E-98
44 1.93760155E-50 1.96642076E-98 2.47322375E-98 9.09263158E-99 4.17610093E-08 1.38867220E-98
45 2.18911550E-50 2.04704505E-98 2.35684713E-98 8.87899365E-99 3.60359266E-08 1.44306289E-98
