#int_mass winds winds_init rlof rlof_init cc cc_init
11 2.30068537E-07 2.30068537E-07 2.32947883E-06 2.32947883E-06 7.05976091E-07 5.92069046E-07
12 2.83899768E-07 2.83899768E-07 2.46934246E-06 2.46934246E-06 7.17969362E-07 7.01215515E-07
13 3.47755824E-07 3.47755824E-07 2.59985504E-06 2.59985504E-06 1.45972234E-06 8.24501303E-07
14 4.21167098E-07 4.21167098E-07 2.72182508E-06 2.72182508E-06 1.04665933E-06 8.98485503E-07
15 5.04141810E-07 5.04141807E-07 2.83465505E-06 2.83465505E-06 1.02649196E-06 1.02829297E-06
16 5.81621977E-07 5.81621965E-07 2.96440732E-06 2.96440732E-06 1.03929904E-06 1.13243307E-06
17 6.95065596E-07 6.95065513E-07 3.05838462E-06 3.05838462E-06 1.37728707E-06 1.25240185E-06
18 7.94882250E-07 7.94881777E-07 3.20308564E-06 3.20308564E-06 1.35085515E-06 1.32954719E-06
19 8.86406192E-07 8.86404151E-07 3.36319401E-06 3.36319401E-06 1.40190705E-06 1.41105350E-06
20 6.83896977E-07 6.83896972E-07 3.54202059E-06 3.54202059E-06 1.69170711E-06 1.78218483E-06
21 8.38174259E-07 8.38174234E-07 3.62200715E-06 3.62200715E-06 1.75852602E-06 1.84845255E-06
22 7.94718601E-07 7.94718601E-07 3.36618792E-06 3.36618792E-06 2.60688198E-06 2.42617351E-06
23 8.82101954E-07 8.82101954E-07 3.53152761E-06 3.53152761E-06 2.59830886E-06 2.44386219E-06
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 1.75583558E-06 1.75582373E-06 3.70111131E-06 3.70111131E-06 2.25221769E-06 2.40398995E-06
27 1.57406327E-06 1.57406327E-06 3.29141972E-06 3.29141972E-06 3.62085585E-06 3.31034142E-06
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 2.45254563E-06 2.45254560E-06 3.39376721E-06 3.39376721E-06 3.33311756E-06 3.40176224E-06
31 2.20831914E-06 2.20831914E-06 3.46055393E-06 3.46055393E-06 4.58751634E-06 3.82927429E-06
32 3.04744596E-06 3.04728105E-06 3.57465433E-06 3.57465433E-06 3.79153398E-06 3.14387336E-06
33 3.30441224E-06 3.29533157E-06 3.57758112E-06 3.57758112E-06 3.79574675E-06 3.21299880E-06
34 3.52632221E-06 3.52350662E-06 3.43583798E-06 3.43583798E-06 4.10539816E-06 3.47556353E-06
35 3.83635694E-06 3.79238866E-06 3.57252682E-06 3.57252682E-06 3.99752907E-06 3.39627311E-06
36 4.04493422E-06 4.00053941E-06 3.60840827E-06 3.60840827E-06 4.05611317E-06 3.48805400E-06
37 4.52726606E-06 4.41979858E-06 3.39035859E-06 3.39035859E-06 4.20965590E-06 3.62461732E-06
38 4.76011997E-06 4.64792784E-06 3.36088369E-06 3.36088369E-06 4.23990501E-06 3.79522921E-06
39 5.02404986E-06 4.90561602E-06 3.31496823E-06 3.31496823E-06 4.40125182E-06 3.92053041E-06
40 5.25759126E-06 5.14000815E-06 3.26591746E-06 3.26591746E-06 4.58774701E-06 4.03617094E-06
41 5.50436404E-06 5.38665396E-06 3.21401684E-06 3.21401684E-06 4.78932328E-06 4.14071290E-06
42 5.77171160E-06 5.65294821E-06 3.15629017E-06 3.15629017E-06 4.94384936E-06 4.36857560E-06
43 6.02868906E-06 5.91411732E-06 3.08436152E-06 3.08436152E-06 5.58774398E-06 4.32908522E-06
44 6.50827930E-06 6.37319066E-06 2.94693160E-06 2.94693160E-06 5.17961337E-06 4.50070142E-06
45 6.76430033E-06 6.63449487E-06 2.87769132E-06 2.87769132E-06 5.38269328E-06 4.67698225E-06
