#intial_mass winds winds_init cc cc_init
11 1.69101700E-99 1.65376070E-99 1.89588704E-97 7.90428047E-99
12 8.22648345E-99 2.25308803E-99 1.68581650E-97 8.21550693E-99
13 2.37011199E-98 2.98106037E-99 1.92112606E-97 8.54793643E-99
14 3.11544200E-98 3.84895528E-99 2.06888507E-97 8.52400674E-99
15 4.06479458E-98 4.85877415E-99 2.03540604E-97 8.37157635E-99
16 4.13956884E-98 6.02513216E-99 2.40928296E-97 8.32485659E-99
17 4.00824966E-98 7.00605258E-99 2.59267816E-97 8.57081859E-99
18 5.16117443E-98 7.98845017E-99 2.91213450E-97 8.53827826E-99
19 5.25355068E-98 8.52504413E-99 3.14746362E-97 9.09597247E-99
20 5.57050218E-98 8.50676209E-99 3.25355730E-97 9.94166227E-99
21 4.94191965E-98 9.02532263E-99 3.14835524E-97 1.03976222E-98
22 4.80686108E-98 1.01876132E-98 3.47597564E-97 1.03137424E-98
23 5.98539268E-98 1.20593456E-98 1.30707495E-89 8.85676184E-99
24 6.15492067E-98 1.27970239E-98 6.46598065E-32 9.37920360E-99
25 6.71782316E-98 1.24312264E-98 4.01155628E-97 1.08065927E-98
26 8.49735430E-98 1.41854608E-98 1.30746345E-08 9.94735366E-99
27 7.91315094E-98 1.47058019E-98 2.28891544E-08 1.04573029E-98
28 8.08713326E-98 1.52378169E-98 1.85036677E-08 1.09300844E-98
29 8.84077611E-98 1.57525359E-98 1.40636552E-08 1.15071127E-98
30 8.60090429E-98 1.58792730E-98 8.62167203E-15 1.23804182E-98
31 9.82704612E-98 1.64584620E-98 2.93617382E-09 1.27236576E-98
32 9.92349429E-98 1.69835643E-98 3.95705596E-09 1.31540008E-98
33 1.15340770E-97 1.85937549E-98 2.00365499E-08 1.24582787E-98
34 1.19278110E-97 1.89227822E-98 6.64283551E-08 1.32678635E-98
35 6.20768345E-92 1.98998935E-98 1.93690330E-08 1.33883361E-98
36 4.01244711E-90 2.10776108E-98 7.43563068E-09 1.29661790E-98
37 1.16009484E-97 2.14341539E-98 1.97363359E-08 1.36348383E-98
38 1.17485713E-97 2.20323456E-98 1.72657929E-08 1.39974515E-98
39 1.24183173E-97 2.26893308E-98 1.80284815E-08 1.43150355E-98
40 3.93165618E-82 2.33107300E-98 8.61952285E-09 1.47631259E-98
41 1.40745874E-97 2.39799271E-98 2.19128033E-08 1.55716059E-98
42 1.43698319E-97 2.46872848E-98 7.07635381E-09 1.57021011E-98
43 2.82746374E-79 2.53654180E-98 2.24089945E-08 1.60542609E-98
44 1.01533977E-83 2.60710283E-98 1.13098451E-08 1.66451914E-98
45 9.12325965E-84 2.67357562E-98 2.05819631E-08 1.69039596E-98
