#int_mass winds winds_init rlof rlof_init cc cc_init
11 1.12612578E-98 7.09866643E-100 9.48604947E-98 7.18750744E-99 4.70245563E-04 1.82680375E-99
12 1.40635760E-98 8.75960607E-100 1.06397445E-97 7.61905068E-99 1.00055568E-03 2.16357052E-99
13 1.83222597E-98 1.07298574E-99 1.11032919E-97 8.02174168E-99 1.11153019E-03 2.54396355E-99
14 2.32584932E-98 1.29949309E-99 1.10637237E-97 8.39807501E-99 3.41491772E-04 2.77223864E-99
15 2.70998444E-98 1.55550801E-99 1.22573948E-97 8.74620705E-99 1.36217963E-03 3.17275405E-99
16 3.03963000E-98 1.79456973E-99 1.32160100E-97 9.14655215E-99 1.89951358E-03 3.49407386E-99
17 3.81701577E-98 2.14459495E-99 1.28555949E-97 9.43651509E-99 1.69159505E-03 3.86423242E-99
18 4.21247444E-98 2.45257377E-99 1.54637572E-97 9.88298393E-99 1.65865786E-03 4.10226105E-99
19 4.74905866E-98 2.73496214E-99 1.94657810E-97 1.03769915E-98 1.57060746E-03 4.35374529E-99
20 3.17716546E-98 2.11013489E-99 1.87817109E-97 1.09287532E-98 1.73628066E-03 5.49885516E-99
21 3.98805283E-98 2.58615079E-99 1.69763228E-97 1.11755483E-98 1.57486925E-03 5.70332139E-99
22 3.38175149E-98 2.45207030E-99 2.08992085E-97 1.03862290E-98 2.14596448E-06 7.48585472E-99
23 3.84450660E-98 2.72168790E-99 1.53697384E-97 1.08963776E-98 7.31244993E-04 7.54043239E-99
24 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
25 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
26 8.55025150E-98 5.41751911E-99 2.11240276E-97 1.14196209E-98 2.25376717E-03 7.41740831E-99
27 7.87362224E-98 4.85670498E-99 1.62626144E-97 1.01555349E-98 1.26644705E-04 1.02139170E-98
28 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
29 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00 -1.00000000E+00
30 1.38025480E-97 7.56722468E-99 1.74588533E-97 1.04713238E-98 6.17950038E-04 1.04959921E-98
31 1.25765040E-97 6.81367439E-99 1.74872441E-97 1.06773913E-98 4.33278303E-04 1.18150622E-98
32 1.45724719E-97 9.40225550E-99 2.07379435E-97 1.10294432E-98 4.75925625E-03 9.70028696E-99
33 1.56979545E-97 1.01676048E-98 2.11723823E-97 1.10384737E-98 4.22131160E-03 9.91357055E-99
34 1.66892837E-97 1.08716292E-98 2.00200271E-97 1.06011313E-98 2.64631516E-03 1.07237028E-98
35 1.70480573E-97 1.17012532E-98 2.20085019E-97 1.10228789E-98 2.58634973E-03 1.04790556E-98
36 1.81315108E-97 1.23434934E-98 2.17049532E-97 1.11335896E-98 2.70865810E-03 1.07622416E-98
37 1.82142452E-97 1.36370997E-98 2.00300370E-97 1.04608066E-98 2.56549449E-03 1.11836019E-98
38 1.80955306E-97 1.43409828E-98 2.00448056E-97 1.03698631E-98 9.87269115E-04 1.17100176E-98
39 2.02486342E-97 1.51360687E-98 2.04222591E-97 1.02281929E-98 1.56852213E-03 1.20966291E-98
40 1.93166210E-97 1.58592756E-98 2.05698834E-97 1.00768488E-98 1.32429548E-03 1.24534330E-98
41 2.01078655E-97 1.66202907E-98 2.10200494E-97 9.91671168E-99 1.07760364E-03 1.27759928E-98
42 2.05754764E-97 1.74419302E-98 2.09318294E-97 9.73859850E-99 2.56793552E-03 1.34790534E-98
43 2.14114449E-97 1.82477564E-98 2.10778948E-97 9.51666572E-99 8.35814740E-04 1.33572075E-98
44 2.23276070E-97 1.96642076E-98 1.94327937E-97 9.09263158E-99 2.61708821E-03 1.38867220E-98
45 2.38994045E-97 2.04704505E-98 2.16123899E-97 8.87899365E-99 3.56018888E-03 1.44306289E-98
