#intial_mass winds winds_init cc cc_init
11 1.65376070E-99 1.65376070E-99 1.40800259E-97 7.90428047E-99
12 2.25308803E-99 2.25308803E-99 1.57366137E-97 8.21550693E-99
13 2.98106037E-99 2.98106037E-99 1.98769968E-97 8.54793643E-99
14 3.84895528E-99 3.84895528E-99 2.04817645E-97 8.52400674E-99
15 4.85877415E-99 4.85877415E-99 2.43554135E-97 8.37157635E-99
16 6.02513216E-99 6.02513216E-99 2.84955862E-97 8.32485659E-99
17 7.00605683E-99 7.00605258E-99 3.43231888E-97 8.57081859E-99
18 8.00907766E-99 7.98845017E-99 3.51287033E-97 8.53827826E-99
19 8.54860325E-99 8.52504413E-99 3.57799685E-97 9.09597247E-99
20 8.56211396E-99 8.50676209E-99 3.95477897E-97 9.94166227E-99
21 9.36016772E-99 9.02532263E-99 4.29509530E-97 1.03976222E-98
22 1.34929907E-98 1.01876132E-98 4.69160352E-97 1.03137424E-98
23 2.89236292E-98 1.20593456E-98 5.17115145E-89 8.85676184E-99
24 4.36876680E-98 1.27970239E-98 1.25521133E-28 9.37920360E-99
25 2.17736517E-98 1.24312264E-98 5.09689060E-97 1.08065927E-98
26 5.07973179E-98 1.41854608E-98 8.85178476E-05 9.94735366E-99
27 6.59512742E-98 1.47058019E-98 7.01185323E-05 1.04573029E-98
28 7.46820744E-98 1.52378169E-98 4.40513857E-05 1.09300844E-98
29 7.89479884E-98 1.57525359E-98 3.59567957E-05 1.15071127E-98
30 6.56703994E-98 1.58792730E-98 2.81905387E-12 1.23804182E-98
31 9.40659461E-98 1.64584620E-98 1.21677518E-05 1.27236576E-98
32 9.51832025E-98 1.69835643E-98 5.50000615E-06 1.31540008E-98
33 1.08387710E-97 1.85937549E-98 1.24717598E-04 1.24582787E-98
34 8.67119984E-98 1.89227822E-98 2.04157542E-04 1.32678635E-98
35 1.27028323E-97 1.98998935E-98 6.31881160E-05 1.33883361E-98
36 1.45874590E-97 2.10776108E-98 6.10719937E-05 1.29661790E-98
37 1.52228329E-97 2.14341539E-98 4.79469146E-05 1.36348383E-98
38 1.69094235E-97 2.20323456E-98 2.24880978E-05 1.39974515E-98
39 1.75244257E-97 2.26893308E-98 2.66014426E-05 1.43150355E-98
40 1.86040400E-97 2.33107300E-98 9.79195554E-05 1.47631259E-98
41 1.88226319E-97 2.39799271E-98 1.46710907E-04 1.55716059E-98
42 1.91562199E-97 2.46872848E-98 1.28501160E-04 1.57021011E-98
43 2.11213488E-97 2.53654180E-98 1.34678332E-04 1.60542609E-98
44 2.14247954E-97 2.60710283E-98 1.24366649E-04 1.66451914E-98
45 2.34734653E-97 2.67357562E-98 1.50841563E-04 1.69039596E-98
