#wind_eta winds winds_init
0.5 1.83238084E-04 1.82174304E-98
0.6 1.87942606E-04 2.06554274E-98
0.7 2.89329457E-04 2.25478991E-98
0.8 3.90404837E-04 2.44266736E-98
0.9 4.05398343E-04 2.54167841E-98
1.0 4.14839434E-04 2.65733449E-98
1.1 4.25332381E-04 2.79413332E-98
1.2 4.58253351E-04 2.85912923E-98
1.3 4.36642403E-04 3.02730861E-98
1.4 4.40898146E-04 3.14335632E-98
1.5 4.47836296E-04 3.25201717E-98
1.6 4.53868861E-04 3.35626682E-98
1.7 4.56504000E-04 3.43138767E-98
1.8 4.57234101E-04 3.49619466E-98
1.9 4.57258995E-04 3.55123165E-98
2.0 4.57818852E-04 3.60214875E-98
