#int_mass winds winds_init
0.5 1.77645850E-98 8.86229314E-99
0.6 8.04619364E-55 1.31073447E-98
0.7 9.98918249E-48 1.50324290E-98
0.8 1.25507132E-47 1.68967893E-98
0.9 1.42870211E-47 1.86526158E-98
1.0 1.77652313E-47 2.03847538E-98
1.1 1.40390781E-47 2.14157699E-98
1.2 2.22445357E-47 2.38637463E-98
1.3 2.47440941E-47 2.55759655E-98
1.4 2.64466818E-47 2.73269391E-98
1.5 2.67753873E-47 2.92251702E-98
1.6 2.95091732E-47 3.09515805E-98
1.7 3.33512818E-47 3.16881520E-98
1.8 3.64130620E-47 3.21920119E-98
1.9 3.78055734E-47 3.26565611E-98
2.0 3.75814446E-47 3.30814239E-98
