#int_mass winds winds_init
0.5 8.86229314E-99 8.86229314E-99
0.6 6.77946967E-98 1.31073447E-98
0.7 7.08237056E-98 1.50324290E-98
0.8 6.82120036E-98 1.68967893E-98
0.9 7.31765969E-98 1.86526158E-98
1.0 7.58641154E-98 2.03847538E-98
1.1 8.61382862E-98 2.14157699E-98
1.2 8.08383541E-98 2.38637463E-98
1.3 8.41769046E-98 2.55759655E-98
1.4 8.46531902E-98 2.73269391E-98
1.5 8.63606118E-98 2.92251702E-98
1.6 8.73950869E-98 3.09515805E-98
1.7 9.26875173E-98 3.16881520E-98
1.8 8.93130647E-98 3.21920119E-98
1.9 9.03052052E-98 3.26565611E-98
2.0 8.71109302E-98 3.30814239E-98
