#wind_eta winds winds_init
0.5 3.01738784E-07 3.01737785E-07
0.6 3.42119755E-07 3.42118661E-07
0.7 3.73465005E-07 3.73463927E-07
0.8 4.04583391E-07 4.04582325E-07
0.9 4.82976435E-07 4.20981662E-07
1.0 5.46817762E-07 4.40137936E-07
1.1 6.05177674E-07 4.62796113E-07
1.2 6.12441108E-07 4.73561473E-07
1.3 6.83591144E-07 5.01417254E-07
1.4 7.13035707E-07 5.20638394E-07
1.5 7.34586812E-07 5.38636039E-07
1.6 7.52474628E-07 5.55903050E-07
1.7 7.65633015E-07 5.68345420E-07
1.8 7.77057944E-07 5.79079489E-07
1.9 7.86816353E-07 5.88195341E-07
2.0 7.95268111E-07 5.96628810E-07
