#int_mass winds winds_init
0.5 9.46680614E-09 2.93773243E-08
0.6 9.42200259E-09 4.34491062E-08
0.7 9.39591426E-09 4.98305050E-08
0.8 9.35978267E-09 5.60106118E-08
0.9 9.36409930E-09 6.18309431E-08
1.0 9.33474728E-09 6.75727507E-08
1.1 9.41178422E-09 7.09904321E-08
1.2 9.41716072E-09 7.91051487E-08
1.3 9.38064944E-09 8.47809278E-08
1.4 9.39023449E-09 9.05851725E-08
1.5 9.38774781E-09 9.68775565E-08
1.6 9.39130586E-09 1.02600377E-07
1.7 9.39616152E-09 1.05042014E-07
1.8 9.40239486E-09 1.06712243E-07
1.9 9.42642937E-09 1.08252161E-07
2.0 9.40910433E-09 1.09660525E-07
