#wind_eta winds winds_init
0.5 9.46680614E-09 6.03883616E-08
0.6 9.42200259E-09 6.84699976E-08
0.7 9.39591426E-09 7.47432898E-08
0.8 9.35978267E-09 8.09711776E-08
0.9 9.41262125E-09 8.42532626E-08
1.0 9.36010997E-09 8.80871080E-08
1.1 9.40773779E-09 9.26218075E-08
1.2 9.43359769E-09 9.47763354E-08
1.3 9.40360021E-09 1.00351258E-07
1.4 9.41468517E-09 1.04198086E-07
1.5 9.41680906E-09 1.07800049E-07
1.6 9.41465236E-09 1.11255786E-07
1.7 9.40378358E-09 1.13745943E-07
1.8 9.41145762E-09 1.15894208E-07
1.9 9.43942933E-09 1.17718611E-07
2.0 9.44503333E-09 1.19406445E-07
