#wind_eta winds winds_init
0.5 5.14595142E-53 1.82174304E-98
0.6 1.73723369E-46 2.06554274E-98
0.7 1.06725494E-39 2.25478991E-98
0.8 6.18126497E-36 2.44266736E-98
0.9 9.55137045E-33 2.54167841E-98
1.0 2.42153068E-32 2.65733449E-98
1.1 3.47900562E-32 2.79413332E-98
1.2 3.86830214E-32 2.85912923E-98
1.3 5.76668374E-32 3.02730861E-98
1.4 5.99962853E-32 3.14335632E-98
1.5 6.76714129E-32 3.25201717E-98
1.6 6.77602923E-32 3.35626682E-98
1.7 6.60868400E-32 3.43138767E-98
1.8 5.78935190E-32 3.49619466E-98
1.9 6.72058950E-32 3.55123165E-98
2.0 6.57851688E-32 3.60214875E-98
