#int_mass winds winds_init
0.5 4.06893032E-10 1.27950090E-09
0.6 4.03306493E-10 1.89238373E-09
0.7 4.01315370E-10 2.17031937E-09
0.8 4.00270577E-10 2.43948794E-09
0.9 4.03245432E-10 2.69298683E-09
1.0 3.95983911E-10 2.94306570E-09
1.1 4.07014564E-10 3.09191951E-09
1.2 4.07026683E-10 3.44534813E-09
1.3 4.03842150E-10 3.69255118E-09
1.4 4.04307534E-10 3.94534944E-09
1.5 4.03558080E-10 4.21940813E-09
1.6 4.02654047E-10 4.46866005E-09
1.7 3.96403938E-10 4.57500317E-09
1.8 3.96397133E-10 4.64774836E-09
1.9 4.04801595E-10 4.71481803E-09
2.0 4.00227026E-10 4.77615794E-09
