#int_mass winds winds_init
0.5 1.23419923E-02 2.12103428E-02
0.6 1.33479863E-01 3.13701284E-02
0.7 5.40979762E-01 3.59774797E-02
0.8 9.36075283E-01 4.04394989E-02
0.9 1.28632795E+00 4.46417612E-02
1.0 1.62475679E+00 4.87873296E-02
1.1 1.04066784E+00 5.12548857E-02
1.2 2.27887848E+00 5.71136874E-02
1.3 2.56428720E+00 6.12115834E-02
1.4 2.81957952E+00 6.54022312E-02
1.5 3.04686418E+00 6.99453142E-02
1.6 3.24325316E+00 7.40771741E-02
1.7 3.40022322E+00 7.58400288E-02
1.8 3.53648215E+00 7.70459290E-02
1.9 3.65827630E+00 7.81577459E-02
2.0 3.74946555E+00 7.91745803E-02
