#wind_eta winds winds_init
0.5 2.57430170E-02 4.36002215E-02
0.6 2.73661374E-02 4.94351393E-02
0.7 2.76435827E-02 5.39644380E-02
0.8 2.79975414E-02 5.84609549E-02
0.9 2.92689020E-01 6.08306107E-02
1.0 6.91271403E-01 6.35986359E-02
1.1 1.18669554E+00 6.68726758E-02
1.2 1.15799468E+00 6.84282387E-02
1.3 2.02187282E+00 7.24533169E-02
1.4 2.42651624E+00 7.52307151E-02
1.5 2.76347574E+00 7.78313218E-02
1.6 3.06476541E+00 8.03263541E-02
1.7 3.26508152E+00 8.21242399E-02
1.8 3.43465264E+00 8.36752813E-02
1.9 3.57370617E+00 8.49924950E-02
2.0 3.69194559E+00 8.62111065E-02
