#int_mass winds winds_init
0.5 3.28789100E-06 3.28789100E-06
0.6 4.99990258E-06 4.86279565E-06
0.7 6.11206734E-06 5.57699765E-06
0.8 7.13566608E-06 6.26867118E-06
0.9 8.05751862E-06 6.92007887E-06
1.0 8.93379808E-06 7.56269823E-06
1.1 9.01633709E-06 7.94520291E-06
1.2 1.05849040E-05 8.85339670E-06
1.3 1.13450872E-05 9.48862620E-06
1.4 1.20950250E-05 1.01382335E-05
1.5 1.28830118E-05 1.08424730E-05
1.6 1.35831433E-05 1.14829674E-05
1.7 1.38992419E-05 1.17562338E-05
1.8 1.41191961E-05 1.19431647E-05
1.9 1.43193441E-05 1.21155114E-05
2.0 1.44937350E-05 1.22731345E-05
