#wind_eta winds winds_init
0.5 9.01968543E-98 1.82174304E-98
0.6 1.99499421E-97 2.06554274E-98
0.7 2.60806716E-46 2.25478991E-98
0.8 2.70388215E-44 2.44266736E-98
0.9 3.43582897E-41 2.54167841E-98
1.0 1.57042363E-39 2.65733449E-98
1.1 1.64752655E-39 2.79413332E-98
1.2 1.55262141E-39 2.85912923E-98
1.3 2.36226614E-39 3.02730861E-98
1.4 4.51864678E-39 3.14335632E-98
1.5 4.57849447E-39 3.25201717E-98
1.6 6.52016196E-39 3.35626682E-98
1.7 7.27659845E-39 3.43138767E-98
1.8 8.93494999E-39 3.49619466E-98
1.9 9.36385291E-39 3.55123165E-98
2.0 1.06983667E-38 3.60214875E-98
