#int_mass winds winds_init
0.5 3.53637682E-20 8.86229314E-99
0.6 1.75967759E-07 1.31073447E-98
0.7 7.08903180E-07 1.50324290E-98
0.8 1.17125928E-06 1.68967893E-98
0.9 1.55672531E-06 1.86526158E-98
1.0 1.90280883E-06 2.03847538E-98
1.1 1.40331492E-06 2.14157699E-98
1.2 2.48416557E-06 2.38637463E-98
1.3 2.70409406E-06 2.55759655E-98
1.4 2.88873714E-06 2.73269391E-98
1.5 3.04798453E-06 2.92251702E-98
1.6 3.17269746E-06 3.09515805E-98
1.7 3.26706389E-06 3.16881520E-98
1.8 3.34513314E-06 3.21920119E-98
1.9 3.41382827E-06 3.26565611E-98
2.0 3.46033603E-06 3.30814239E-98
