#wind_eta winds winds_init
0.5 1.89365416E-05 1.89365424E-05
0.6 2.14707759E-05 2.14707764E-05
0.7 2.34379500E-05 2.34379512E-05
0.8 2.53912891E-05 2.53908881E-05
0.9 3.57689373E-05 2.64200822E-05
1.0 4.61075619E-05 2.76222969E-05
1.1 5.61880949E-05 2.90442849E-05
1.2 5.62227677E-05 2.97199004E-05
1.3 7.01227383E-05 3.14680810E-05
1.4 7.55835030E-05 3.26743666E-05
1.5 7.95176228E-05 3.38038677E-05
1.6 8.26572752E-05 3.48875155E-05
1.7 8.48014107E-05 3.56683772E-05
1.8 8.66108116E-05 3.63420288E-05
1.9 8.80974129E-05 3.69141239E-05
2.0 8.93043929E-05 3.74433939E-05
