#int_mass winds winds_init
0.5 7.12300261E-98 8.86229314E-99
0.6 1.03698980E-97 1.31073447E-98
0.7 1.45554502E-80 1.50324290E-98
0.8 6.43124219E-83 1.68967893E-98
0.9 1.32566975E-82 1.86526158E-98
1.0 5.93729090E-82 2.03847538E-98
1.1 2.58173394E-83 2.14157699E-98
1.2 3.71162636E-82 2.38637463E-98
1.3 2.00114003E-81 2.55759655E-98
1.4 1.49331631E-82 2.73269391E-98
1.5 1.86291630E-82 2.92251702E-98
1.6 1.02168090E-81 3.09515805E-98
1.7 2.30684670E-82 3.16881520E-98
1.8 2.15966477E-81 3.21920119E-98
1.9 1.18114795E-82 3.26565611E-98
2.0 1.45669543E-80 3.30814239E-98
