#wind_eta winds winds_init
0.5 2.19033630E-97 1.82701558E-98
0.6 2.56117436E-97 2.07152089E-98
0.7 2.73850570E-71 2.26131578E-98
0.8 1.68149832E-72 2.44973699E-98
0.9 9.61098916E-72 2.54903461E-98
1.0 4.31673118E-72 2.66502543E-98
1.1 2.82421418E-70 2.80222018E-98
1.2 2.77492630E-70 2.86740420E-98
1.3 4.52810341E-70 3.03607033E-98
1.4 2.17951517E-69 3.15245391E-98
1.5 1.18560042E-69 3.26142925E-98
1.6 1.27387375E-71 3.36598062E-98
1.7 2.30222512E-69 3.44131889E-98
1.8 5.33355668E-71 3.50631345E-98
1.9 8.43274667E-69 3.56150972E-98
2.0 2.14436962E-70 3.61257419E-98
