#wind_eta winds winds_init
0.5 2.19582376E-97 1.82174304E-98
0.6 3.57158865E-97 2.06554274E-98
0.7 4.12423287E-97 2.25478991E-98
0.8 4.00900688E-97 2.44266736E-98
0.9 4.24861696E-97 2.54167841E-98
1.0 4.60485169E-97 2.65733449E-98
1.1 4.44622633E-97 2.79413332E-98
1.2 4.34271533E-97 2.85912923E-98
1.3 4.45748250E-97 3.02730861E-98
1.4 4.62870000E-97 3.14335632E-98
1.5 5.15207915E-97 3.25201717E-98
1.6 5.59397097E-97 3.35626682E-98
1.7 5.89231190E-97 3.43138767E-98
1.8 6.19320773E-97 3.49619466E-98
1.9 6.59169251E-97 3.55123165E-98
2.0 6.67284490E-97 3.60214875E-98
