#int_mass winds winds_init
0.5 3.37207507E-06 3.37207507E-06
0.6 5.57343397E-06 4.98730401E-06
0.7 8.05119026E-06 5.71979263E-06
0.8 1.02612288E-05 6.42917596E-06
0.9 1.21794777E-05 7.09726247E-06
1.0 1.39525828E-05 7.75633564E-06
1.1 1.27876574E-05 8.14863408E-06
1.2 1.71101290E-05 9.08008151E-06
1.3 1.84528833E-05 9.73157560E-06
1.4 1.97028215E-05 1.03978156E-05
1.5 2.09313440E-05 1.11200867E-05
1.6 2.19866278E-05 1.17769804E-05
1.7 2.25699815E-05 1.20572436E-05
1.8 2.30145857E-05 1.22489608E-05
1.9 2.34161030E-05 1.24257203E-05
2.0 2.37317342E-05 1.25873792E-05
