#int_mass winds winds_init
0.5 6.68817507E-06 6.68817507E-06
0.6 1.04378686E-05 9.89182083E-06
0.7 1.33388953E-05 1.13446391E-05
0.8 1.58877579E-05 1.27516302E-05
0.9 1.81311955E-05 1.40767133E-05
1.0 2.01807554E-05 1.53839193E-05
1.1 2.02767672E-05 1.61620042E-05
1.2 2.37340509E-05 1.80094374E-05
1.3 2.53117625E-05 1.93016110E-05
1.4 2.68646130E-05 2.06230317E-05
1.5 2.84905262E-05 2.20555845E-05
1.6 2.99196736E-05 2.33584678E-05
1.7 3.05677282E-05 2.39143419E-05
1.8 3.10182361E-05 2.42945938E-05
1.9 3.14310503E-05 2.46451787E-05
2.0 3.17884353E-05 2.49658131E-05
