#wind_eta winds winds_init
0.5 8.87784980E-98 1.82174304E-98
0.6 1.19191328E-97 2.06554274E-98
0.7 2.46966663E-60 2.25478991E-98
0.8 2.20656144E-56 2.44266736E-98
0.9 1.49041200E-47 2.54167841E-98
1.0 3.73844319E-43 2.65733449E-98
1.1 2.42717000E-41 2.79413332E-98
1.2 3.54814605E-43 2.85912923E-98
1.3 5.56435850E-43 3.02730861E-98
1.4 6.93484025E-43 3.14335632E-98
1.5 7.18696711E-43 3.25201717E-98
1.6 8.24053967E-43 3.35626682E-98
1.7 8.10053175E-43 3.43138767E-98
1.8 9.71776942E-43 3.49619466E-98
1.9 9.61021024E-43 3.55123165E-98
2.0 1.05629328E-42 3.60214875E-98
