#int_mass winds winds_init
0.5 7.73360296E-99 8.86229314E-99
0.6 9.96894851E-77 1.31073447E-98
0.7 1.37675268E-90 1.50324290E-98
0.8 1.67994498E-90 1.68967893E-98
0.9 1.89300235E-64 1.86526158E-98
1.0 1.49732842E-61 2.03847538E-98
1.1 9.12064072E-65 2.14157699E-98
1.2 2.69430241E-58 2.38637463E-98
1.3 1.65515619E-58 2.55759655E-98
1.4 1.23979028E-58 2.73269391E-98
1.5 2.01743135E-58 2.92251702E-98
1.6 1.82473149E-58 3.09515805E-98
1.7 8.81536640E-58 3.16881520E-98
1.8 1.27284599E-58 3.21920119E-98
1.9 1.17085038E-58 3.26565611E-98
2.0 2.12825129E-58 3.30814239E-98
