#wind_eta winds winds_init
0.5 7.20303997E-98 1.85374932E-98
0.6 1.35822000E-65 2.10183234E-98
0.7 2.36079610E-78 2.29440440E-98
0.8 3.87198456E-78 2.48558268E-98
0.9 1.90065132E-78 2.58633326E-98
1.0 7.67801860E-98 2.70402131E-98
1.1 9.98603847E-66 2.84322356E-98
1.2 8.16331505E-66 2.90936138E-98
1.3 4.11035215E-61 3.08049552E-98
1.4 4.85356080E-60 3.19858207E-98
1.5 6.11718530E-60 3.30915199E-98
1.6 2.70177567E-60 3.41523320E-98
1.7 2.21987216E-60 3.49167386E-98
1.8 5.04719000E-60 3.55761944E-98
1.9 2.12797632E-60 3.61362338E-98
2.0 4.21422342E-60 3.66543504E-98
