#int_mass winds winds_init
0.5 2.98910486E-98 8.86229314E-99
0.6 1.84954833E-97 1.31073447E-98
0.7 1.96538203E-97 1.50324290E-98
0.8 2.02346217E-97 1.68967893E-98
0.9 2.13130699E-97 1.86526158E-98
1.0 2.31993172E-97 2.03847538E-98
1.1 2.27325782E-97 2.14157699E-98
1.2 2.67060607E-97 2.38637463E-98
1.3 2.85749135E-97 2.55759655E-98
1.4 2.94965231E-97 2.73269391E-98
1.5 2.95126820E-97 2.92251702E-98
1.6 3.23154974E-97 3.09515805E-98
1.7 3.53548391E-97 3.16881520E-98
1.8 3.63648256E-97 3.21920119E-98
1.9 3.66692508E-97 3.26565611E-98
2.0 3.69684815E-97 3.30814239E-98
