#wind_eta winds winds_init
0.5 5.73239995E-05 5.73239995E-05
0.6 6.49955389E-05 6.49955389E-05
0.7 7.09504979E-05 7.09504976E-05
0.8 7.68632587E-05 7.68623559E-05
0.9 1.66468331E-04 7.99778940E-05
1.0 2.39003253E-04 8.36171938E-05
1.1 2.98998802E-04 8.79217833E-05
1.2 2.95834323E-04 8.99669814E-05
1.3 3.68962745E-04 9.52590091E-05
1.4 3.89157347E-04 9.89106322E-05
1.5 3.98898568E-04 1.02329816E-04
1.6 4.03600638E-04 1.05610195E-04
1.7 4.07289846E-04 1.07973990E-04
1.8 4.10436730E-04 1.10013243E-04
1.9 4.13091083E-04 1.11745068E-04
2.0 4.14575277E-04 1.13347255E-04
