#int_mass winds winds_init
0.5 1.50544742E-16 3.39890013E-29
0.6 1.49467350E-16 5.02697832E-29
0.7 1.67272076E-16 5.76529393E-29
0.8 1.84355533E-16 6.48032045E-29
0.9 2.00860985E-16 7.15372163E-29
1.0 2.17628806E-16 7.81803776E-29
1.1 2.48558970E-16 8.21345696E-29
1.2 2.53265586E-16 9.15231411E-29
1.3 2.72162249E-16 9.80899087E-29
1.4 2.93083892E-16 1.04805309E-28
1.5 3.16974162E-16 1.12085476E-28
1.6 3.35298360E-16 1.18706670E-28
1.7 3.36805350E-16 1.21531597E-28
1.8 3.36272486E-16 1.23464020E-28
1.9 3.36042317E-16 1.25245676E-28
2.0 3.36369770E-16 1.26875126E-28
