#wind_eta winds winds_init
0.5 3.07652999E-16 6.98681771E-29
0.6 2.57653969E-16 7.92184751E-29
0.7 2.75249088E-16 8.64765540E-29
0.8 2.91816645E-16 9.36821008E-29
0.9 3.03142699E-16 9.74794103E-29
1.0 3.37252358E-16 1.01915096E-28
1.1 3.34459874E-16 1.07161656E-28
1.2 3.62379021E-16 1.09654404E-28
1.3 3.55571476E-16 1.16104483E-28
1.4 3.65912257E-16 1.20555189E-28
1.5 3.74256263E-16 1.24722590E-28
1.6 3.78200860E-16 1.28720812E-28
1.7 3.78442269E-16 1.31601876E-28
1.8 3.79195922E-16 1.34087378E-28
1.9 3.79982446E-16 1.36198177E-28
2.0 3.80794450E-16 1.38150969E-28
