#int_mass winds winds_init
0.5 3.59843297E+00 2.35766601E+00
0.6 7.32260630E+00 3.48699152E+00
0.7 7.94438152E+00 3.99912825E+00
0.8 8.56236562E+00 4.49511038E+00
0.9 9.16056272E+00 4.96221886E+00
1.0 9.75384896E+00 5.42302545E+00
1.1 1.02435008E+01 5.69731017E+00
1.2 1.09987792E+01 6.34855367E+00
1.3 1.16310706E+01 6.80406116E+00
1.4 1.22699944E+01 7.26987862E+00
1.5 1.29642990E+01 7.77487151E+00
1.6 1.36995220E+01 8.23415432E+00
1.7 1.40983983E+01 8.43010695E+00
1.8 1.44044744E+01 8.56415051E+00
1.9 1.46924367E+01 8.68773611E+00
2.0 1.49576660E+01 8.80076379E+00
