#wind_eta winds winds_init
0.5 6.85456065E+00 4.84644503E+00
0.6 7.29711768E+00 5.49503366E+00
0.7 8.93186590E+00 5.99849434E+00
0.8 1.06635280E+01 6.49831111E+00
0.9 1.10662349E+01 6.76171360E+00
1.0 1.15100456E+01 7.06939740E+00
1.1 1.20641133E+01 7.43332799E+00
1.2 1.27192906E+01 7.60623881E+00
1.3 1.30236623E+01 8.05365214E+00
1.4 1.35659994E+01 8.36237782E+00
1.5 1.41311676E+01 8.65145197E+00
1.6 1.47205965E+01 8.92879086E+00
1.7 1.51487183E+01 9.12863743E+00
1.8 1.55124845E+01 9.30104566E+00
1.9 1.58209993E+01 9.44746243E+00
2.0 1.61168084E+01 9.58291893E+00
