#int_mass winds winds_init
0.5 3.38937677E-09 3.39651534E-09
0.6 1.01056592E-07 5.02345121E-09
0.7 4.07005074E-07 5.76124880E-09
0.8 6.84416331E-07 6.47577363E-09
0.9 9.21102659E-07 7.14870232E-09
1.0 1.14057728E-06 7.81255235E-09
1.1 7.93328022E-07 8.20769410E-09
1.2 1.53591876E-06 9.14589252E-09
1.3 1.69583059E-06 9.80210854E-09
1.4 1.83400047E-06 1.04731774E-08
1.5 1.95536093E-06 1.12006833E-08
1.6 2.05510423E-06 1.18623381E-08
1.7 2.13180164E-06 1.21446326E-08
1.8 2.19677715E-06 1.23377393E-08
1.9 2.25459464E-06 1.25157799E-08
2.0 2.29511676E-06 1.26786106E-08
