#wind_eta winds winds_init
0.5 6.96573851E-09 6.98191551E-09
0.6 7.89802897E-09 7.91628926E-09
0.7 8.62182063E-09 8.64158789E-09
0.8 9.36539074E-09 9.36163701E-09
0.9 2.60646704E-07 9.74110153E-09
1.0 5.72402863E-07 1.01843589E-08
1.1 9.16160663E-07 1.07086468E-08
1.2 8.94062595E-07 1.09577466E-08
1.3 1.43571421E-06 1.16023020E-08
1.4 1.66393546E-06 1.20470603E-08
1.5 1.83867270E-06 1.24635081E-08
1.6 1.98583900E-06 1.28630497E-08
1.7 2.08137913E-06 1.31509539E-08
1.8 2.16136598E-06 1.33993297E-08
1.9 2.22578917E-06 1.36102616E-08
2.0 2.27827277E-06 1.38054037E-08
