#int_mass winds winds_init
0.5 3.76803346E-09 7.64964813E-08
0.6 3.59966014E-09 1.13138409E-07
0.7 3.66891048E-09 1.29755122E-07
0.8 3.73824700E-09 1.45847684E-07
0.9 3.79666056E-09 1.61003416E-07
1.0 3.85221933E-09 1.75954678E-07
1.1 3.93848192E-09 1.84854080E-07
1.2 3.94891502E-09 2.05984230E-07
1.3 3.99286724E-09 2.20763558E-07
1.4 4.03695451E-09 2.35877402E-07
1.5 4.07401286E-09 2.52262327E-07
1.6 4.10828034E-09 2.67164148E-07
1.7 4.14882752E-09 2.73521998E-07
1.8 4.18004359E-09 2.77871156E-07
1.9 4.21500762E-09 2.81880996E-07
2.0 4.24619622E-09 2.85548275E-07
