#wind_eta winds winds_init
0.5 8.55681700E-09 1.57247036E-07
0.6 3.59959195E-09 1.78291046E-07
0.7 3.66995885E-09 1.94626257E-07
0.8 3.73919384E-09 2.10843238E-07
0.9 3.79746500E-09 2.19389556E-07
1.0 3.85357368E-09 2.29372618E-07
1.1 3.89950372E-09 2.41180656E-07
1.2 4.09295159E-09 2.46790895E-07
1.3 3.99338657E-09 2.61307602E-07
1.4 4.03747222E-09 2.71324469E-07
1.5 4.07435283E-09 2.80703726E-07
1.6 4.10847529E-09 2.89702222E-07
1.7 4.14902129E-09 2.96186415E-07
1.8 4.18027005E-09 3.01780346E-07
1.9 4.21526261E-09 3.06530963E-07
2.0 4.24644184E-09 3.10925965E-07
