#int_mass winds winds_init
0.5 1.17669180E-98 8.86229314E-99
0.6 1.90983088E-98 1.31073447E-98
0.7 2.38430111E-98 1.50324290E-98
0.8 3.23071307E-98 1.68967893E-98
0.9 4.11347783E-98 1.86526158E-98
1.0 4.85200749E-98 2.03847538E-98
1.1 5.64451987E-98 2.14157699E-98
1.2 7.18449340E-98 2.38637463E-98
1.3 8.54880896E-98 2.55759655E-98
1.4 9.03216327E-98 2.73269391E-98
1.5 9.24523615E-98 2.92251702E-98
1.6 1.01453660E-97 3.09515805E-98
1.7 1.17615137E-97 3.16881520E-98
1.8 1.08337824E-97 3.21920119E-98
1.9 1.11238023E-97 3.26565611E-98
2.0 9.94373832E-98 3.30814239E-98
