#wind_eta winds winds_init
0.5 5.53090598E-98 1.82174304E-98
0.6 5.65656239E-98 2.06554274E-98
0.7 5.68705884E-98 2.25478991E-98
0.8 6.20285581E-98 2.44266736E-98
0.9 6.54661413E-98 2.54167841E-98
1.0 7.73915423E-98 2.65733449E-98
1.1 8.05192362E-98 2.79413332E-98
1.2 8.87163343E-98 2.85912923E-98
1.3 1.00229363E-97 3.02730861E-98
1.4 1.02893507E-97 3.14335632E-98
1.5 1.34337945E-97 3.25201717E-98
1.6 1.24759166E-97 3.35626682E-98
1.7 1.31321227E-97 3.43138767E-98
1.8 1.19802481E-97 3.49619466E-98
1.9 1.01853737E-97 3.55123165E-98
2.0 9.18771493E-98 3.60214875E-98
