#int_mass winds winds_init
0.5 2.10159391E-20 9.11932893E-99
0.6 4.63646693E-19 1.34875010E-98
0.7 6.89901878E-19 1.54684191E-98
0.8 9.56740968E-19 1.73868521E-98
0.9 1.24176955E-18 1.91936033E-98
1.0 1.56334544E-18 2.09759791E-98
1.1 1.03449270E-18 2.20368980E-98
1.2 2.26885362E-18 2.45558739E-98
1.3 2.63192635E-18 2.63177530E-98
1.4 2.95214411E-18 2.81195106E-98
1.5 3.29027289E-18 3.00727967E-98
1.6 3.61253076E-18 3.18492786E-98
1.7 3.86965639E-18 3.26072132E-98
1.8 4.10124104E-18 3.31256867E-98
1.9 4.32361187E-18 3.36037093E-98
2.0 4.50013347E-18 3.40408945E-98
