#wind_eta winds winds_init
0.5 3.42934558E-20 1.87457961E-98
0.6 1.64942490E-20 2.12545031E-98
0.7 1.00624680E-19 2.32018627E-98
0.8 3.63203463E-19 2.51351278E-98
0.9 4.91128314E-19 2.61539549E-98
1.0 6.92652629E-19 2.73440597E-98
1.1 1.01258145E-18 2.87517242E-98
1.2 1.01761612E-18 2.94205343E-98
1.3 1.70736321E-18 3.11511057E-98
1.4 2.12325742E-18 3.23452404E-98
1.5 2.56691144E-18 3.34633642E-98
1.6 3.03833717E-18 3.45360965E-98
1.7 3.35342032E-18 3.53090926E-98
1.8 3.61555130E-18 3.59759586E-98
1.9 3.82986569E-18 3.65422910E-98
2.0 4.02907116E-18 3.70662297E-98
