#wind_eta winds winds_init
0.5 3.39410415E-98 1.82174304E-98
0.6 1.30219069E-58 2.06554274E-98
0.7 3.33034658E-98 2.25478991E-98
0.8 3.37561254E-98 2.44266736E-98
0.9 5.95376679E-95 2.54167841E-98
1.0 3.20270801E-98 2.65733449E-98
1.1 2.22506691E-56 2.79413332E-98
1.2 1.68744211E-56 2.85912923E-98
1.3 1.61930954E-52 3.02730861E-98
1.4 1.93497190E-51 3.14335632E-98
1.5 2.87287735E-51 3.25201717E-98
1.6 1.77250739E-51 3.35626682E-98
1.7 1.61445244E-51 3.43138767E-98
1.8 4.21165744E-51 3.49619466E-98
1.9 2.05623177E-51 3.55123165E-98
2.0 4.54880326E-51 3.60214875E-98
