#int_mass winds winds_init
0.5 3.41791898E-02 6.26394948E-03
0.6 6.83171624E-02 9.26439055E-03
0.7 7.04448394E-02 1.06250577E-02
0.8 7.21411890E-02 1.19428045E-02
0.9 7.36469901E-02 1.31838386E-02
1.0 7.48719508E-02 1.44081296E-02
1.1 8.80824705E-02 1.51368612E-02
1.2 7.88003969E-02 1.68671132E-02
1.3 8.12984991E-02 1.80773253E-02
1.4 8.46614550E-02 1.93149293E-02
1.5 9.30568800E-02 2.06566164E-02
1.6 1.02504322E-01 2.18768589E-02
1.7 1.04962095E-01 2.23974744E-02
1.8 1.05752887E-01 2.27536071E-02
1.9 1.06442251E-01 2.30819547E-02
2.0 1.07548777E-01 2.33822516E-02
