#int_mass winds winds_init
0.5 1.61722887E-98 8.86229314E-99
0.6 1.91256941E-84 1.31073447E-98
0.7 2.11837567E-86 1.50324290E-98
0.8 1.43086830E-78 1.68967893E-98
0.9 2.65287856E-77 1.86526158E-98
1.0 5.71704824E-68 2.03847538E-98
1.1 2.58439166E-77 2.14157699E-98
1.2 3.10154944E-64 2.38637463E-98
1.3 1.82197757E-64 2.55759655E-98
1.4 1.24280660E-64 2.73269391E-98
1.5 2.19535385E-64 2.92251702E-98
1.6 2.94070722E-64 3.09515805E-98
1.7 4.38642954E-63 3.16881520E-98
1.8 1.65626448E-64 3.21920119E-98
1.9 1.68812690E-64 3.26565611E-98
2.0 3.43057798E-64 3.30814239E-98
