#wind_eta winds winds_init
0.5 2.13685025E-98 1.82174304E-98
0.6 2.75474273E-77 2.06554274E-98
0.7 1.09782995E-34 2.25478991E-98
0.8 1.22354264E-34 2.44266736E-98
0.9 9.82788357E-35 2.54167841E-98
1.0 1.71907861E-34 2.65733449E-98
1.1 3.30073943E-34 2.79413332E-98
1.2 2.09478708E-34 2.85912923E-98
1.3 3.65657907E-34 3.02730861E-98
1.4 4.60420724E-34 3.14335632E-98
1.5 1.52476215E-33 3.25201717E-98
1.6 5.84292495E-32 3.35626682E-98
1.7 1.59110819E-33 3.43138767E-98
1.8 4.59237162E-33 3.49619466E-98
1.9 7.37006467E-33 3.55123165E-98
2.0 1.14156379E-32 3.60214875E-98
