#int_mass winds winds_init
0.5 1.19901294E-02 1.20877554E-02
0.6 1.75621432E-02 1.78778081E-02
0.7 2.01702053E-02 2.05035336E-02
0.8 2.26843858E-02 2.30464343E-02
0.9 2.50494780E-02 2.54412998E-02
1.0 2.73773651E-02 2.78038555E-02
1.1 2.88385736E-02 2.92101135E-02
1.2 3.20261270E-02 3.25490394E-02
1.3 3.43118580E-02 3.48844267E-02
1.4 3.66539639E-02 3.72726731E-02
1.5 3.91981255E-02 3.98617721E-02
1.6 4.15036113E-02 4.22165154E-02
1.7 4.24708881E-02 4.32211646E-02
1.8 4.31260741E-02 4.39084061E-02
1.9 4.37304337E-02 4.45420295E-02
2.0 4.42858976E-02 4.51215226E-02
