#wind_eta winds winds_init
0.5 1.30815191E-03 2.00972959E-03
0.6 1.43000777E-03 2.27868709E-03
0.7 1.43001203E-03 2.48746277E-03
0.8 1.43058108E-03 2.69472738E-03
0.9 8.83662099E-03 2.80395544E-03
1.0 1.97958099E-02 2.93154612E-03
1.1 3.35936685E-02 3.08246129E-03
1.2 3.27032901E-02 3.15416416E-03
1.3 5.78699915E-02 3.33969805E-03
1.4 7.03411554E-02 3.46772078E-03
1.5 8.12222530E-02 3.58759439E-03
1.6 9.17458677E-02 3.70260161E-03
1.7 9.89369970E-02 3.78547423E-03
1.8 1.05220518E-01 3.85696868E-03
1.9 1.10463387E-01 3.91768496E-03
2.0 1.15113091E-01 3.97385622E-03
