#int_mass winds winds_init
0.5 7.69262267E-102 0.00000000E+00
0.6 1.59044705E-50 0.00000000E+00
0.7 8.28739856E-50 0.00000000E+00
0.8 1.03449669E-49 0.00000000E+00
0.9 1.10867133E-49 0.00000000E+00
1.0 1.35699318E-49 0.00000000E+00
1.1 5.80986769E-46 0.00000000E+00
1.2 1.67936312E-49 0.00000000E+00
1.3 1.82928920E-49 0.00000000E+00
1.4 1.96651780E-49 0.00000000E+00
1.5 1.75407531E-49 0.00000000E+00
1.6 1.91791581E-49 0.00000000E+00
1.7 2.24338621E-49 0.00000000E+00
1.8 2.36638332E-49 0.00000000E+00
1.9 2.48494605E-49 0.00000000E+00
2.0 2.63286533E-49 0.00000000E+00
