#wind_eta winds winds_init
0.5 8.88224421E-102 0.00000000E+00
0.6 4.15415486E-102 0.00000000E+00
0.7 2.64873463E-101 0.00000000E+00
0.8 1.33476575E-63 0.00000000E+00
0.9 1.14642643E-51 0.00000000E+00
1.0 1.29613607E-49 0.00000000E+00
1.1 1.20822948E-49 0.00000000E+00
1.2 2.13558956E-46 0.00000000E+00
1.3 1.50143871E-49 0.00000000E+00
1.4 2.01519261E-49 0.00000000E+00
1.5 2.16466261E-49 0.00000000E+00
1.6 2.25960634E-49 0.00000000E+00
1.7 2.38887743E-49 0.00000000E+00
1.8 2.48210145E-49 0.00000000E+00
1.9 2.41041832E-49 0.00000000E+00
2.0 2.62035958E-49 0.00000000E+00
