#wind_eta winds winds_init
0.5 2.13065938E-97 1.82174304E-98
0.6 4.06990249E-97 2.06554274E-98
0.7 4.48305794E-97 2.25478991E-98
0.8 4.61240786E-97 2.44266736E-98
0.9 4.53458538E-97 2.54167841E-98
1.0 5.14755492E-97 2.65733449E-98
1.1 5.09508608E-97 2.79413332E-98
1.2 4.92657973E-97 2.85912923E-98
1.3 5.34727217E-97 3.02730861E-98
1.4 5.54748730E-97 3.14335632E-98
1.5 6.10752796E-97 3.25201717E-98
1.6 6.38026302E-97 3.35626682E-98
1.7 6.76907682E-97 3.43138767E-98
1.8 7.02251980E-97 3.49619466E-98
1.9 7.28209691E-97 3.55123165E-98
2.0 7.49495119E-97 3.60214875E-98
