#int_mass winds winds_init
0.5 2.16049826E-05 2.16049826E-05
0.6 3.36978648E-05 3.19538012E-05
0.7 4.30841888E-05 3.66468770E-05
0.8 5.12978891E-05 4.11919165E-05
0.9 5.84728386E-05 4.54723662E-05
1.0 6.50150424E-05 4.96950670E-05
1.1 6.53731359E-05 5.22085345E-05
1.2 7.63706900E-05 5.81763451E-05
1.3 8.13238581E-05 6.23504866E-05
1.4 8.61438847E-05 6.66191057E-05
1.5 9.11856804E-05 7.12467173E-05
1.6 9.55721742E-05 7.54554546E-05
1.7 9.74551167E-05 7.72511090E-05
1.8 9.87012406E-05 7.84794462E-05
1.9 9.98242288E-05 7.96119495E-05
2.0 1.00804590E-04 8.06477032E-05
