#int_mass winds winds_init
0.5 3.79452087E-02 5.82334579E-02
0.6 9.82254818E-02 8.61273704E-02
0.7 2.78844516E-01 9.87769540E-02
0.8 4.29865293E-01 1.11027525E-01
0.9 5.53016731E-01 1.22564927E-01
1.0 6.59019917E-01 1.33946676E-01
1.1 5.62483909E-01 1.40721405E-01
1.2 8.25217832E-01 1.56806872E-01
1.3 8.81425361E-01 1.68057735E-01
1.4 9.23596154E-01 1.79563250E-01
1.5 9.52896798E-01 1.92036383E-01
1.6 9.66889261E-01 2.03380495E-01
1.7 9.72583085E-01 2.08220450E-01
1.8 9.72733825E-01 2.11531276E-01
1.9 9.68963386E-01 2.14583793E-01
2.0 9.64103622E-01 2.17375534E-01
