#wind_eta winds winds_init
0.5 4.39306346E-05 4.74386925E-05
0.6 5.23055839E-05 5.37873040E-05
0.7 5.32167424E-05 5.87153526E-05
0.8 5.38989068E-05 6.36077333E-05
0.9 5.51309474E-05 6.61860086E-05
1.0 5.61967374E-05 6.91977249E-05
1.1 5.70822387E-05 7.27600042E-05
1.2 5.76616521E-05 7.44525156E-05
1.3 5.82298589E-05 7.88319532E-05
1.4 5.87601974E-05 8.18538677E-05
1.5 5.91476021E-05 8.46834262E-05
1.6 5.94383800E-05 8.73981159E-05
1.7 5.93642352E-05 8.93542837E-05
1.8 5.97785184E-05 9.10418755E-05
1.9 6.00797137E-05 9.24750539E-05
2.0 6.04560869E-05 9.38009494E-05
