#int_mass winds winds_init
0.5 1.71794037E-98 8.86229314E-99
0.6 6.87680084E-95 1.31073447E-98
0.7 4.14087058E-95 1.50324290E-98
0.8 3.70701173E-88 1.68967893E-98
0.9 1.24169510E-86 1.86526158E-98
1.0 1.20719207E-77 2.03847538E-98
1.1 9.63395014E-87 2.14157699E-98
1.2 5.80207974E-73 2.38637463E-98
1.3 3.39098538E-73 2.55759655E-98
1.4 2.13020908E-73 2.73269391E-98
1.5 3.60583816E-73 2.92251702E-98
1.6 5.18355517E-73 3.09515805E-98
1.7 4.41997855E-71 3.16881520E-98
1.8 2.29700220E-73 3.21920119E-98
1.9 2.22981639E-73 3.26565611E-98
2.0 5.05372329E-73 3.30814239E-98
