#wind_eta winds winds_init
0.5 6.16993777E-98 1.82174304E-98
0.6 9.65774952E-98 2.06554274E-98
0.7 8.75297920E-54 2.25478991E-98
0.8 7.44330570E-51 2.44266736E-98
0.9 4.27348697E-46 2.54167841E-98
1.0 1.88070497E-43 2.65733449E-98
1.1 2.02757469E-43 2.79413332E-98
1.2 1.84496719E-43 2.85912923E-98
1.3 2.83366792E-43 3.02730861E-98
1.4 3.74559838E-43 3.14335632E-98
1.5 3.90087761E-43 3.25201717E-98
1.6 4.68672835E-43 3.35626682E-98
1.7 4.59582434E-43 3.43138767E-98
1.8 5.57773529E-43 3.49619466E-98
1.9 5.63569442E-43 3.55123165E-98
2.0 6.26327524E-43 3.60214875E-98
