#int_mass winds winds_init
0.5 2.11597347E-05 2.11597347E-05
0.6 3.21811079E-05 3.12952790E-05
0.7 3.96593951E-05 3.58916372E-05
0.8 4.67385378E-05 4.03430100E-05
0.9 5.31494922E-05 4.45352456E-05
1.0 5.93280272E-05 4.86709226E-05
1.1 5.84330762E-05 5.11325911E-05
1.2 7.13278232E-05 5.69774137E-05
1.3 7.68721134E-05 6.10655321E-05
1.4 8.22736099E-05 6.52461810E-05
1.5 8.78427164E-05 6.97784242E-05
1.6 9.27770748E-05 7.39004255E-05
1.7 9.51365771E-05 7.56590739E-05
1.8 9.68202931E-05 7.68620968E-05
1.9 9.83313508E-05 7.79712609E-05
2.0 9.95996616E-05 7.89856692E-05
