#wind_eta winds winds_init
0.5 4.34961911E-05 4.34961911E-05
0.6 4.93171867E-05 4.93171867E-05
0.7 5.38356784E-05 5.38356784E-05
0.8 5.83213620E-05 5.83214666E-05
0.9 6.27775275E-05 6.06854685E-05
1.0 6.84824288E-05 6.34468891E-05
1.1 7.50998010E-05 6.67131171E-05
1.2 7.64405989E-05 6.82649684E-05
1.3 8.56908104E-05 7.22804428E-05
1.4 9.06390341E-05 7.50512141E-05
1.5 9.48417354E-05 7.76456157E-05
1.6 9.86043872E-05 8.01346948E-05
1.7 1.01192576E-04 8.19282909E-05
1.8 1.03380306E-04 8.34756315E-05
1.9 1.05191201E-04 8.47897023E-05
2.0 1.06782075E-04 8.60054062E-05
