#int_mass winds winds_init
0.5 8.85488971E-98 8.86229314E-99
0.6 1.02310136E-32 1.31073447E-98
0.7 2.51301867E-32 1.50324290E-98
0.8 4.85802245E-32 1.68967893E-98
0.9 9.23736203E-32 1.86526158E-98
1.0 1.80824637E-31 2.03847538E-98
1.1 1.35927555E-31 2.14157699E-98
1.2 5.59993792E-31 2.38637463E-98
1.3 7.54069888E-31 2.55759655E-98
1.4 9.35475685E-31 2.73269391E-98
1.5 1.07942340E-30 2.92251702E-98
1.6 1.14504748E-30 3.09515805E-98
1.7 1.15830220E-30 3.16881520E-98
1.8 1.12050353E-30 3.21920119E-98
1.9 1.07891482E-30 3.26565611E-98
2.0 1.04459977E-30 3.30814239E-98
