#wind_eta winds winds_init
0.5 6.27982030E-07 6.27982030E-07
0.6 7.12023426E-07 7.12023425E-07
0.7 7.77259751E-07 7.77259750E-07
0.8 8.42026496E-07 8.42023912E-07
0.9 9.39844525E-07 8.76154502E-07
1.0 1.05958799E-06 9.16022879E-07
1.1 1.19368675E-06 9.63179479E-07
1.2 1.21039972E-06 9.85584538E-07
1.3 1.40239366E-06 1.04355848E-06
1.4 1.49733227E-06 1.08356186E-06
1.5 1.57551743E-06 1.12101888E-06
1.6 1.64452194E-06 1.15695529E-06
1.7 1.69162965E-06 1.18285057E-06
1.8 1.73152078E-06 1.20519051E-06
1.9 1.76447436E-06 1.22416258E-06
2.0 1.79307830E-06 1.24171446E-06
